label,text,preprocessing-result
Spam,"Saya suka menonton acara For Your Pagi ( FYP ) tapi boleh juga lah mendukung saya ya 
Assalamu'alaikum,  Mohon maaf dan Mohon izin wabil Khusus Aa Raffi dan Gigi serta kelaurga tercinta yang berbahagia tentunya di muliakan Tuhan Allah SWT. Alhamdulillah ini data DCS saya sebagai Calon Legislatif  DPR RI dapil II DKI Jakarta. Jakarta Pusat, Jakarta Selatan dan Luar Negeri. Mohon di Do'akan dan di dukung syukur didukung yang masih berdomisili di dapil tersebut agar dapat menjadi Anggota DPR RI yang tentunya menjadi aset kita bersama.  dapat membantu satu sama lainnya. Trimakasih atas partisifasi dan bantuannya. Semoga Allah Memberkahi kita semua. Wassalamu'alaikum","['suka', 'tonton', 'acara', 'for', 'your', 'pagi', 'fyp', 'dukung', 'ya', 'assalamu', 'alaikum', 'mohon', 'maaf', 'mohon', 'izin', 'wabil', 'khusus', 'aa', 'raffi', 'gigi', 'kelaurga', 'cinta', 'bahagia', 'mulia', 'tuhan', 'allah', 'swt', 'alhamdulillah', 'data', 'dcs', 'calon', 'legislatif', 'dpr', 'ri', 'dapil', 'ii', 'dki', 'jakarta', 'jakarta', 'pusat', 'jakarta', 'selatan', 'negeri', 'mohon', 'do', 'dukung', 'syukur', 'dukung', 'domisili', 'dapil', 'anggota', 'dpr', 'ri', 'aset', 'bantu', 'trimakasih', 'partisifasi', 'bantu', 'moga', 'allah', 'kah', 'wassalamu', 'alaikum']"
Ham,aa dan mamah keren,"['aa', 'mamah', 'keren']"
Spam,Hai  cinta Laura 🙏,"['hai', 'cinta', 'laura']"
Ham,Ganteng,['ganteng']
Ham,Semoga sehat semua ya om Raffi sama Tante gigi sehat selalu,"['moga', 'sehat', 'ya', 'om', 'raffi', 'tante', 'gigi', 'sehat']"
Spam,assalamualaikum Mbak Nagita.. mohon maaf saya kemaren ikutan tebak tebakan katanya saya dapet hadiah.. terus saya udah isi data nya.udah bayar administrasi nya.. terus kata admin nya udah di kirim..pas saya cek gak ada.. terus sekarang no telpon nya gak aktif.. saya di bohongin,"['assalamualaikum', 'mbak', 'nagita', 'mohon', 'maaf', 'kemaren', 'ikut', 'tebak', 'tebak', 'dapet', 'hadiah', 'udah', 'isi', 'data', 'nya', 'udah', 'bayar', 'administrasi', 'nya', 'admin', 'nya', 'udah', 'kirim', 'pas', 'cek', 'gak', 'no', 'telpon', 'nya', 'gak', 'aktif', 'bohongin']"
Ham,lucuuu,['lucuuu']
Ham,Sehat slalu buat kluarga bos Raffi Ahmad,"['sehat', 'slalu', 'kluarga', 'bos', 'raffi', 'ahmad']"
Ham,Foto yg bagus. Ibu dan anak kompak. Rans jaya terus.,"['foto', 'yg', 'bagus', 'anak', 'kompak', 'rans', 'jaya']"
Ham,"assalamu alaikum
salam kenal aku dari cianjur","['assalamu', 'alaikum', 'salam', 'kenal', 'cianjur']"
Spam,Boss nukar mobil lamborjini,"['boss', 'nukar', 'mobil', 'lamborjini']"
Spam,Nyonya Rafi yungguyu terus,"['nyonya', 'rafi', 'yungguyu']"
Spam,Gooddd,['gooddd']
Spam,Hhhhhhhhhhhh,['hhhhhhhhhhhh']
Ham,Cantik,['cantik']
Ham,"Cantik mama gigi,,","['cantik', 'mama', 'gigi']"
Spam,Ada loker nggak bu,"['loker', 'nggak', 'bu']"
Spam,Ijin bos mau nawarin tanah di subang Jawa Barat bos barangkali aja mau investasi di subang bos bisa inbok,"['ijin', 'bos', 'nawarin', 'tanah', 'subang', 'jawa', 'barat', 'bos', 'barangkali', 'aja', 'investasi', 'subang', 'bos', 'inbok']"
Ham,Si ganteng Rafathar dan MB Gigi yg cantik sehat selalu ❤️👍,"['si', 'ganteng', 'rafathar', 'mb', 'gigi', 'yg', 'cantik', 'sehat']"
Ham,*KEREN*,['keren']
Ham,Semoga sehat selalu 💙,"['moga', 'sehat']"
Spam,Kasbon bos,"['kasbon', 'bos']"
Ham,Mantap ❤️❤️❤️❤️❤️,['mantap']
Ham,SHT sllu mbbk gigi..,"['sht', 'sllu', 'mbbk', 'gigi']"
Ham,Semoga kalian s keluarga d berikan ksehatan dan umur yg panjang Aamiin Yarabbal A'lamin....,"['moga', 's', 'keluarga', 'd', 'ksehatan', 'umur', 'yg', 'aamiin', 'yarabbal', 'a', 'lamin']"
Ham,Ganteng nya,"['ganteng', 'nya']"
Ham,Semoga tumbuh Dan Sehat selalu,"['moga', 'tumbuh', 'sehat']"
Spam,Cipung ke mna Te Di ajak,"['cipung', 'mna', 'te', 'ajak']"
Ham,"Aslkm slmt mlm
Bunda gigi dan abang raffatar","['aslkm', 'slmt', 'mlm', 'bunda', 'gigi', 'abang', 'raffatar']"
Ham,Hello mba gigi Raffi Ahmad 😊,"['hello', 'mba', 'gigi', 'raffi', 'ahmad']"
Spam,Enak. Y mi,"['enak', 'y', 'mi']"
Ham,WOOO KREEN😇👍👍👍,"['wooo', 'kreen']"
Ham,sehat selalu kak nagita,"['sehat', 'kak', 'nagita']"
Spam,Assalamu'alaikum salam cakung timur hadir salam sehat selalu  sukses selalu pak raffi ahmad,"['assalamu', 'alaikum', 'salam', 'cakung', 'timur', 'hadir', 'salam', 'sehat', 'sukses', 'raffi', 'ahmad']"
Spam,Halo✋🙂,['halo']
Spam,Raffi Ahmad ❤️❤️❤️❤️❤️,"['raffi', 'ahmad']"
Ham,Met malam,"['met', 'malam']"
Ham,Raffatar makin cakep,"['raffatar', 'cakep']"
Ham,Rafar udah gede semoga sehat jadi anak yang shaleh berbakti pada kedua orang tua aamiin,"['rafar', 'udah', 'gede', 'moga', 'sehat', 'anak', 'shaleh', 'bakti', 'orang', 'tua', 'aamiin']"
Spam,Wow,['wow']
Spam,Hadir moga sehat sekeluarga bos sukses selalu banyak reseki Raffi dan gigi bantu dong aku bos Raffi bayar kontrakan pekerjaan aku cuma tukang parkir tolong kalu bisa ya aku doa kan sukses selalu,"['hadir', 'moga', 'sehat', 'keluarga', 'bos', 'sukses', 'resek', 'raffi', 'gigi', 'bantu', 'bos', 'raffi', 'bayar', 'kontra', 'kerja', 'tukang', 'parkir', 'tolong', 'kalu', 'ya', 'doa', 'sukses']"
Ham,Keren 👍,['keren']
Ham,Hasil dari 2 sehati,"['hasil', 'sehat']"
Spam,Hai Aa Rafatar.. Salam kenal dr Verrel.. aa Raffi Ahmad ini ak Verrel mau ketemu aa Rafatar boleh??????,"['hai', 'aa', 'rafatar', 'salam', 'kenal', 'dr', 'verrel', 'aa', 'raffi', 'ahmad', 'ak', 'verrel', 'ketemu', 'aa', 'rafatar']"
Spam,Bantu donk ka 😀😀🙏,"['bantu', 'donk', 'ka']"
Spam,Photobaik,['photobaik']
Ham,Mantap keren,"['mantap', 'keren']"
Ham,cakep,['cakep']
Spam,Alhamdulillah aa Raffi Ahmadd,"['alhamdulillah', 'aa', 'raffi', 'ahmadd']"
Spam,Yang penting kang rafi di perhatikan jeng,"['kang', 'rafi', 'perhati', 'jeng']"
Ham,Kakak Raffatar...dah besar niih...pasti dah pinter ngajak Adik Rayyanza main....tuh...mirip Mamah juga ❤❤😍😍👍👍,"['kakak', 'raffatar', 'dah', 'niih', 'dah', 'pinter', 'ngajak', 'adik', 'rayyanza', 'main', 'tuh', 'mamah']"
Ham,Harmunisnya,['harmunisnya']
Spam,Tambah lgi baby mbk gigi... Kl bisa baby wanita,"['lgi', 'baby', 'mbk', 'gigi', 'kl', 'baby', 'wanita']"
Spam,Coba kalau org miskin mana ada yg like,"['coba', 'org', 'miskin', 'yg', 'like']"
Ham,Love love rafatar,"['love', 'love', 'rafatar']"
Spam,Sultan sih tapii jangan ngaku sultan kalau gak bisaa ngasih kerjaan orang yg gak ber ijasah,"['sultan', 'sih', 'tapi', 'ngaku', 'sultan', 'gak', 'bisaa', 'ngasih', 'kerja', 'orang', 'yg', 'gak', 'ber', 'ijasah']"
Ham,Hallo ganteng ❤️,"['hallo', 'ganteng']"
Ham,Hello kakak,"['hello', 'kakak']"
Ham,Semoga sehat buat keluarga neng Nagita sama AA Rafi sekeluarga,"['moga', 'sehat', 'keluarga', 'neng', 'nagita', 'aa', 'rafi', 'keluarga']"
Spam,"Susi
Semoga.sehat selalu.
Pada minggu.suka balas","['sus', 'moga', 'sehat', 'minggu', 'suka', 'balas']"
Ham,Mirip banget ya😍😍,"['banget', 'ya']"
Ham,Semoga sehat selalu tambah rekzky ya say 🙏,"['moga', 'sehat', 'rekzky', 'ya', 'say']"
Ham,Puteh² ya 🤍,"['puteh', 'ya']"
Ham,"Sehat aa panjang umur ya.
Semoga jadi anak  yang soleh
Sayang sama orang tua selamanya.","['sehat', 'aa', 'umur', 'ya', 'moga', 'anak', 'soleh', 'sayang', 'orang', 'tua']"
Spam,Raffi Ahmadd,"['raffi', 'ahmadd']"
Ham,"Ya Sangat Senang Mem punya AA Sudah Tambah Besar dan Ganteng Selamat ya mem, Salam Sehat Selalu buat Sekeluarga Amiiiin.","['ya', 'senang', 'mem', 'aa', 'ganteng', 'selamat', 'ya', 'mem', 'salam', 'sehat', 'keluarga', 'amiiiin']"
Spam,Zym2,['zym']
Spam,Raffi Ahmad,"['raffi', 'ahmad']"
Ham,Mantap,['mantap']
Ham,Cantik,['cantik']
Spam,Assalamualaikum.bos Rafi dan bos mbk nagita.mohon izin.sapa tau ad yg membutuh kan jasa serfis AC nya.bongkar pasang AC.cuci AC dll wa.082183921203.jabodetabek.🙏🙏,"['assalamualaikum', 'bos', 'rafi', 'bos', 'mbk', 'nagita', 'mohon', 'izin', 'sapa', 'tau', 'ad', 'yg', 'butuh', 'jasa', 'serfis', 'ac', 'nya', 'bongkar', 'pasang', 'ac', 'cuci', 'ac', 'dll', 'wa', 'jabodetabek']"
Spam,Jan cat artists nyeleb,"['jan', 'cat', 'artists', 'nyeleb']"
Spam,Bantu dong,['bantu']
Spam,Fatin Sidqia Lubis,"['fatin', 'sidqia', 'lubis']"
Spam,Madu Pandawa 77,"['madu', 'pandawa']"
Ham,Semoga sukses selalu dan selalu dlm lindungan Allah SWT Amiiin,"['moga', 'sukses', 'dlm', 'lindung', 'allah', 'swt', 'amiiin']"
Ham,Masya Allah gnteng dn cntik snyum ny sm2 mnis ny mg sht sllu MB ggi seklwrga,"['masya', 'allah', 'gnteng', 'dn', 'cntik', 'snyum', 'ny', 'sm', 'mnis', 'ny', 'mg', 'sht', 'sllu', 'mb', 'ggi', 'seklwrga']"
Ham,Aa Rafatar smg sht sll Aamiin Yra,"['aa', 'rafatar', 'smg', 'sht', 'sll', 'aamiin', 'yra']"
Ham,Pagi sehat bosku semoga selalu dlm lindungan Alloh🤲🤲🤲👍❤️🙏,"['pagi', 'sehat', 'bos', 'moga', 'dlm', 'lindung', 'alloh']"
Ham,Mantap smga Allah sll memberi kesehatan,"['mantap', 'smga', 'allah', 'sll', 'sehat']"
Ham,"Semoga keluarga Aa Rafi dan mba gigi slalu sehat dan bahagia, diberi kelancaran Rizqi yg melimpah  halal dan jg berkah Aamiiin","['moga', 'keluarga', 'aa', 'rafi', 'mba', 'gigi', 'slalu', 'sehat', 'bahagia', 'lancar', 'rizqi', 'yg', 'limpah', 'halal', 'jg', 'berkah', 'aamiiin']"
Ham,Selamat malam mbak GiGi dan Abang Rafathar ? Semoga dalam keadaan sehat selalu dalam lindungan Allah SWT.  Amiin.,"['selamat', 'malam', 'mbak', 'gigi', 'abang', 'rafathar', 'moga', 'sehat', 'lindung', 'allah', 'swt', 'amiin']"
Ham,Mantap ini mamahnya cantik anaknya hemsem sehat selalu tuhan memberkati 🙏👍🥰🇲🇾🇲🇾💯💯,"['mantap', 'mamah', 'cantik', 'anak', 'hemsem', 'sehat', 'tuhan', 'kati']"
Ham,sehat selalu amin,"['sehat', 'amin']"
Ham,Semoga sehat selalu mama gigi,"['moga', 'sehat', 'mama', 'gigi']"
Ham,😀😀😘😘😘😍😍❤️❤️ ibu dan anak mirip sukses dan sehat selalu amin,"['anak', 'sukses', 'sehat', 'amin']"
Ham,"Assalamualaikum wr wb
Seneng banget lihat mmh gigi 
Aa Rafatar semoga sehat selalu bersama seluruh klwarganya Aamiin","['assalamualaikum', 'wr', 'wb', 'neng', 'banget', 'lihat', 'mmh', 'gigi', 'aa', 'rafatar', 'moga', 'sehat', 'klwarganya', 'aamiin']"
Ham,Mami cantik Gigi sm Aa Rafatar salam sehat & sukses selalu God Bless You,"['mami', 'cantik', 'gigi', 'sm', 'aa', 'rafatar', 'salam', 'sehat', 'sukses', 'god', 'bless', 'you']"
Ham,Keluarga sejatra sehat selalu mama gigi,"['keluarga', 'sejatra', 'sehat', 'mama', 'gigi']"
Ham,Masyaallah 🥰🥰 sehat slalu ya 🤲🤲,"['masyaallah', 'sehat', 'slalu', 'ya']"
Ham,Semoga sehat slalu Rafatar🙏🙏,"['moga', 'sehat', 'slalu', 'rafatar']"
Ham,"Mohon do,anya, semoga kita semua dlam lindugan yg kuasa, Amin.🙏","['mohon', 'do', 'anya', 'moga', 'dlam', 'lindugan', 'yg', 'kuasa', 'amin']"
Ham,Sehat sllu dan jadi kluarga yg sllu berbagi kasih ntuk sesama,"['sehat', 'sllu', 'kluarga', 'yg', 'sllu', 'bagi', 'kasih', 'ntuk']"
Ham,Rafatar sehat selalu yaa,"['rafatar', 'sehat', 'yaa']"
Ham,Sehat selalu mama gigi dan kelurganya,"['sehat', 'mama', 'gigi', 'kelurganya']"
Ham,"Kok siganteng Aa Rafattar sipit ya..., 🥰🥰🥰 semoga sehat selalu. 🤲🤲🤲","['siganteng', 'aa', 'rafattar', 'sipit', 'ya', 'moga', 'sehat']"
Ham,Sehat selalu ya...❤❤❤❤🙏,"['sehat', 'ya']"
Ham,Semoga sehat dan tambah sukses 💖,"['moga', 'sehat', 'sukses']"
Ham,SMG sll sehatt,"['smg', 'sll', 'sehatt']"
Spam,Sakit stroke bantu kami berobat gk punya biaya amin. Mksh,"['sakit', 'stroke', 'bantu', 'obat', 'gk', 'biaya', 'amin', 'mksh']"
Ham,bahagia trus mama gigi .....,"['bahagia', 'trus', 'mama', 'gigi']"
Ham,"Assallamua""llaikm smga rafi dn sklrg mga sllu seht dn sllu ad dlm lindungn allah swt amiin amiin","['assallamua', 'llaikm', 'smga', 'rafi', 'dn', 'sklrg', 'mga', 'sllu', 'seht', 'dn', 'sllu', 'ad', 'dlm', 'lindungn', 'allah', 'swt', 'amiin', 'amiin']"
Ham,"Semoga kluarga aa Rafi shat  pnjang umur""Amin Allahuma Amin","['moga', 'kluarga', 'aa', 'rafi', 'shat', 'pnjang', 'umur', 'amin', 'allahuma', 'amin']"
Ham,"Semoga Sehat "" Sukses Selalu Aamiinn Aamiinn Aamiinn 🤲🤲","['moga', 'sehat', 'sukses', 'aamiinn', 'aamiinn', 'aamiinn']"
Spam,Amin Amin yaroballalamin,"['amin', 'amin', 'yaroballalamin']"
Spam,Salam sehat dr sy sukses selalu Rafif Alfa Risqi Rafif,"['salam', 'sehat', 'dr', 'sy', 'sukses', 'rafif', 'alfa', 'risqi', 'rafif']"
Ham,"Halo assalamualaikum mat pagi , ganteng tenan Rafatar semoga sehat selalu buat kalian semua 👍👍👍","['halo', 'assalamualaikum', 'mat', 'pagi', 'ganteng', 'tenan', 'rafatar', 'moga', 'sehat']"
Ham,semoga selalu bersama buat keluarga kk Rafi Ahmad sukses selalu,"['moga', 'keluarga', 'kk', 'rafi', 'ahmad', 'sukses']"
Spam,Benar atau hoax,['hoax']
Ham,segala puji bagi allah swt yang telah menciptakan mu,"['puji', 'allah', 'swt', 'cipta', 'mu']"
Spam,"A, umur hanyalah angka.
Bisa mreuunn digaskeun 😉","['a', 'umur', 'angka', 'mreuunn', 'digaskeun']"
Ham,"Cakep nya AA Rafatar , sehat slu ya Aa dan mamah nya 🥰🥰🥰","['cakep', 'nya', 'aa', 'rafatar', 'sehat', 'slu', 'ya', 'aa', 'mamah', 'nya']"
Spam,"AMAL SOLEH, RAF..!?","['amal', 'soleh', 'raf']"
Ham,Jangan lupa senyum bahagia My Boy😁🥰,"['lupa', 'senyum', 'bahagia', 'my', 'boy']"
Ham,Mama sama anak sama keren nya.  Sehat selalu ya,"['mama', 'anak', 'keren', 'nya', 'sehat', 'ya']"
Ham,Hai.  Kluarga   sultan  andaraxxsemua   semoga  sehat  panjang. Umurmu  semua. Dandilancarkan  urusanmu  bisnismu. Semua   semua  tambah  berjaya  dunia  akherat  manusia  baeik  tetap  unggul  hidupmu  ygbertambah  bagus  semuanya amin 3,"['hai', 'kluarga', 'sultan', 'andaraxxsemua', 'moga', 'sehat', 'umur', 'dandilancarkan', 'urus', 'bisnis', 'jaya', 'dunia', 'akherat', 'manusia', 'baeik', 'unggul', 'hidup', 'ygbertambah', 'bagus', 'amin']"
Ham,Semoga mma PP dan adik sehat selalu ya🙏🙏,"['moga', 'mma', 'pp', 'adik', 'sehat', 'ya']"
Ham,Alhamdulillah berkah sekeluarga 🤲🤲🤲🇲🇨,"['alhamdulillah', 'berkah', 'keluarga']"
Spam,Dg baik sd yg mau,"['dg', 'sd', 'yg']"
Spam,untuk Nagita dan👍👍🤗🤗🌼🌾🌻🌟✌🏼,['nagita']
Ham,"Sehat selalu mba Gita sama a'a💪💪💪
,","['sehat', 'mba', 'gita', 'a', 'a']"
Ham,Assalamualaikum semoga kalian diberikan lancar usahanya barokah,"['assalamualaikum', 'moga', 'lancar', 'usaha', 'barokah']"
Spam,Amin🥰😍😃,['amin']
Spam,Dg yg lain aja ya,"['dg', 'yg', 'aja', 'ya']"
Ham,Gantengnya,['ganteng']
Spam,- keren ..really iiiit ... ... 👍👍👍👍...,"['keren', 'really', 'iiiit']"
Spam,Karya dari Kantong Asoy,"['karya', 'kantong', 'asoy']"
Ham,Tante gigi memang cantik,"['tante', 'gigi', 'cantik']"
Ham,"Asli,. Mirip",['asli']
Ham,Ini anak gak bisa apa2 .    Alias bodoh dan tolol,"['anak', 'gak', 'alias', 'bodoh', 'tolol']"
Spam,maoboti😄😄😄,['maoboti']
Ham,Anak korea 😊,"['anak', 'korea']"
Spam,Bodku,['bodku']
Ham,Mirip yachhh🫶,['yachhh']
Ham,Si tempan,"['si', 'tempan']"
Spam,shopee.co.id/azqia_caffe,"['shopee', 'co', 'id', 'azqia', 'caffe']"
Ham,Pagi...ganteng.  ....dah sarapan. Blum??,"['pagi', 'ganteng', 'dah', 'sarap', 'blum']"
Ham,Semoga sehat selalu Rafatar Malik Ahmad,"['moga', 'sehat', 'rafatar', 'malik', 'ahmad']"
Ham,Aduh menggemaskan deh dua2nya👍😍,"['aduh', 'gemas', 'deh', 'nya']"
Ham,Ganteng😊,['ganteng']
Ham,Mirip banget,['banget']
Ham,AA Rafatar makin keren en ganteng bgt❤️❤️❤️❤️,"['aa', 'rafatar', 'keren', 'en', 'ganteng', 'bgt']"
Spam,Ini benar program bosku ya mbak,"['program', 'bos', 'ya', 'mbak']"
Ham,Wow keren,"['wow', 'keren']"
Ham,Wow keren,"['wow', 'keren']"
Spam,Butuh loker kerja donk aa rafi,"['butuh', 'loker', 'kerja', 'donk', 'aa', 'rafi']"
Ham,Sehat selalu mama gigi dan keluarga,"['sehat', 'mama', 'gigi', 'keluarga']"
Ham,Ganteng banget,"['ganteng', 'banget']"
Spam,Punya kaga gitu coba,"['kaga', 'gitu', 'coba']"
Ham,Mirip mamanya,['mama']
Spam,Plek,['plek']
Ham,mantap👍,['mantap']
Spam,Hendrawan Sigit Armadaa Dzulfian Adriano de Limmaa Anjas Asmaraa Bisma Vndrzz Eno Wibowoo Heigar Raksasaa,"['hendrawan', 'sigit', 'armadaa', 'dzulfian', 'adriano', 'de', 'limmaa', 'anjas', 'asmaraa', 'bisma', 'vndrzz', 'eno', 'wibowoo', 'heigar', 'raksasaa']"
Ham,ganteng😍,['ganteng']
Spam,loker donk bos Raffi Ahmad,"['loker', 'donk', 'bos', 'raffi', 'ahmad']"
Spam,"🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨
BOBOT BIBIT BEBET yang BERSIH, UNGGUL dan TERBAIK

Salam Indonesia Damai, Sejahtera, Adil dan Beradab dengan Pemimpin yang JUJUR & BERSIH, Amanah & Peduli, berKualitas & berPrestasi

Kami semua berdoa dan sangat berharap.. Semoga Pak Anis Rasyid Baswedan yang akan menjadi Presiden Thn 2024 nanti, beliau adalah CUCU dari Seorang PAHLAWAN INDONESIA🇲🇨

Pak Anis Baswedan orang yang Jujur dan Amanah, Berbudi luhur sopan santun dan rendah hati, ikhlas dan sabar, Pintar dan Cerdas berwawasan luas, Penolong dan peduli merakyat, Berprestasi didalam dan luar Negeri, Merangkul kebersamaan lintas Agama, Perekat kebangsaan dalam kebhinekaan dan cinta NKRI🇲🇨

Pak Anis Baswedan adalah Pemimpin yang BERSIH dan sebagai Teladan CIVIL SOCIETY LEADERSHIP yang ANTI KKN serta menegakkan Hukum dan HAM🇲🇨

Pak Anis Baswedan TIDAK KORUPSI dan tidak terlibat suatu kasus apapun, sehingga nyaris SEMPURNA TANPA CACAT🇲🇨

Pak Anis Baswedan seorang AKADEMISI berjiwa PEJUANG MERAH PUTIH tanpa pamrih untuk menjadikan Indonesia Jaya yang : Damai, sejahtera, adil dan beradab dalam Kebersamaan dan Persatuan NKRI🇲🇨

Pak Anis Baswedan adalah ANUGERAH dari TUHAN YME untuk Indonesia yang sangat luar biasa dan kita butuhkan untuk Memimpin, membangun, mensejahterakan Indonesia dengan Damai Adil dan Beradab dalam kebersamaan demi kedaulatan NKRI dan Pancasila🇲🇨

Bravooo Pak Anis Rasyid Baswedan.. CUCU dari PAHLAWAN NKRI... TIDAK PALSU TIPU² karena jelas Silsilah keturunan dan keluarganya nya, jelas ijazah dan pendidikan nya, jelas guru² dan teman² seperjuangan nya, dan jelas Karier, Record, Prestasi, Kwalitas dan integritas nya.. 
Pak Anis Baswedan SUDAH TERBUKTI Joooosss LUAR BIASA.......
Merdekaaaaa🇲🇨💪👍💥🤝🙏🇲🇨

FAKTA :
# Hanya Pak Anis yang BERSIH, JUJUR dan AMANAH.
# Hanya Pak Anis yang BOBOT BIBIT BEBET nya unggul dan TERBAIK.
🙏🤝🙏🤝🙏🤝🙏🤝🙏🤝🙏🤝🙏","['bobot', 'bibit', 'bebet', 'bersih', 'unggul', 'baik', 'salam', 'indonesia', 'damai', 'sejahtera', 'adil', 'adab', 'pimpin', 'jujur', 'bersih', 'amanah', 'peduli', 'kualitas', 'prestasi', 'doa', 'harap', 'moga', 'anis', 'rasyid', 'baswedan', 'presiden', 'thn', 'beliau', 'cucu', 'pahlawan', 'indonesia', 'anis', 'baswedan', 'orang', 'jujur', 'amanah', 'budi', 'luhur', 'sopan', 'santun', 'rendah', 'hati', 'ikhlas', 'sabar', 'pintar', 'cerdas', 'wawas', 'luas', 'tolong', 'peduli', 'rakyat', 'prestasi', 'dalam', 'negeri', 'rangkul', 'sama', 'lintas', 'agama', 'rekat', 'bangsa', 'kebhinekaan', 'cinta', 'nkri', 'anis', 'baswedan', 'pimpin', 'bersih', 'teladan', 'civil', 'society', 'leadership', 'anti', 'kkn', 'tegak', 'hukum', 'ham', 'anis', 'baswedan', 'tidak', 'korupsi', 'tidak', 'libat', 'apa', 'sempurna', 'cacat', 'anis', 'baswedan', 'akademisi', 'jiwa', 'juang', 'merah', 'putih', 'pamrih', 'jadi', 'indonesia', 'jaya', 'damai', 'sejahtera', 'adil', 'adab', 'sama', 'satu', 'nkri', 'anis', 'baswedan', 'anugerah', 'tuhan', 'yme', 'indonesia', 'butuh', 'pimpin', 'bangun', 'sejahtera', 'indonesia', 'damai', 'adil', 'adab', 'sama', 'daulat', 'nkri', 'pancasila', 'bravooo', 'anis', 'rasyid', 'baswedan', 'cucu', 'pahlawan', 'nkri', 'tidak', 'palsu', 'tipu', 'silsilah', 'turun', 'keluarga', 'nya', 'ijazah', 'didik', 'nya', 'guru', 'teman', 'juang', 'nya', 'karier', 'record', 'prestasi', 'kwalitas', 'integritas', 'nya', 'anis', 'baswedan', 'bukti', 'joooosss', 'merdekaaaaa', 'fakta', 'anis', 'bersih', 'jujur', 'amanah', 'anis', 'bobot', 'bibit', 'bebet', 'nya', 'unggul', 'baik']"
Ham,Gigi menunjukkan gigi bareng rafathar yang unjuk gigi,"['gigi', 'gigi', 'bareng', 'rafathar', 'unjuk', 'gigi']"
Ham,semoga sehat selalu sekeluarga😍😍😍,"['moga', 'sehat', 'keluarga']"
Spam,The best ..jangan lupa foolow aq juga giss 😅😅,"['the', 'best', 'lupa', 'foolow', 'aq', 'giss']"
Spam,Assalamualaikum...adakah disini yang mau berbagi... memberikan Al Qur'an.untu di daerah kami...kalau ada silahkan inbok.untuk di wilayah Banten Serang .padarincang,"['assalamualaikum', 'ada', 'bagi', 'al', 'qur', 'an', 'untu', 'daerah', 'silah', 'inbok', 'wilayah', 'banten', 'serang', 'padarincang']"
Ham,Semoga sehat selalu. Aamiin...,"['moga', 'sehat', 'aamiin']"
Ham,Sehat selalu mama gigi dan  bang  Raffi Ahmad 😍😍😍😍😍😍,"['sehat', 'mama', 'gigi', 'bang', 'raffi', 'ahmad']"
Ham,Semoga sehat selalu di berkati Tuhan,"['moga', 'sehat', 'berkat', 'tuhan']"
Spam,"Kami sangat berharap bantuan dn dukungan dr bapak dn Ibu, kondisi keperluan bahan Pokok dn keperluan Baby Sudah mulai menipis dn Anak2 5 orng tidak menggunakan Pempres lagi. Kami sangat berharap bantuan dari BPK dn Ibu.

Sekali lagi Terimakasih banyak 🙏🙏🙏🙏
Wa: 081396399879

Utk Berdonasi bisa Klik' link di bawah /. Bio

https://kitabisa.com/campaign/sedekahuntuk30oranganakyatimpantiasuhan?utm_source=socialsharing_donor_web_null&utm_medium=share_campaign_copas&utm_campaign=share_detail_campaign

Kitabisa 
Inspiratif 
galang dana, donasi 
Open Donasi Bersama (ODB) KITA PEDULI 
Orangbaik","['harap', 'bantu', 'dn', 'dukung', 'dr', 'dn', 'kondisi', 'perlu', 'bahan', 'pokok', 'dn', 'perlu', 'baby', 'tip', 'dn', 'anak', 'orng', 'tidak', 'pempres', 'harap', 'bantu', 'bpk', 'dn', 'terimakasih', 'wa', 'utk', 'donasi', 'klik', 'link', 'bio', 'kitabisa', 'inspiratif', 'galang', 'dana', 'donasi', 'open', 'donasi', 'odb', 'peduli', 'orangbaik']"
Spam,https://youtube.com/shorts/pzV0kQe1bng?si=L9pb2bB3ye4SKICA,[]
Spam,https://www.facebook.com/profile.php?id=100081928548708,[]
Ham,"Cantik nya , semoga sehat selalu","['cantik', 'nya', 'moga', 'sehat']"
